phase,k,algo,silhouette,time_s
before,3,KMeans,0.7161,15.32
before,3,BisectingKMeans,0.2698,24.65
before,5,KMeans,0.2987,11.05
before,5,BisectingKMeans,0.1825,34.92
before,7,KMeans,0.3093,11.17
before,7,BisectingKMeans,0.2206,38.46
before,10,KMeans,0.3341,11.82
before,10,BisectingKMeans,0.2409,48.03
before,15,KMeans,0.3656,12.51
before,15,BisectingKMeans,0.2618,50.19
after,3,KMeans,0.7488,6.35
after,3,BisectingKMeans,0.2698,17.92
after,5,KMeans,0.252,7.21
after,5,BisectingKMeans,0.2234,26.98
after,7,KMeans,0.3346,7.84
after,7,BisectingKMeans,0.2624,28.87
after,10,KMeans,0.3624,8.87
after,10,BisectingKMeans,0.2287,38.31
after,15,KMeans,0.3758,10.21
after,15,BisectingKMeans,0.3052,39.75
